Age_Group,cup,filled
18-24,1,1
18-24,2,1
18-24,3,1
18-24,4,1
18-24,5,1
18-24,6,0
18-24,7,0
18-24,8,0
18-24,9,0
18-24,10,0
25-34,1,1
25-34,2,1
25-34,3,1
25-34,4,1
25-34,5,1
25-34,6,1
25-34,7,1
25-34,8,0
25-34,9,0
25-34,10,0
35-44,1,1
35-44,2,1
35-44,3,1
35-44,4,1
35-44,5,1
35-44,6,1
35-44,7,1
35-44,8,0
35-44,9,0
35-44,10,0
45-54,1,1
45-54,2,1
45-54,3,1
45-54,4,1
45-54,5,1
45-54,6,1
45-54,7,0
45-54,8,0
45-54,9,0
45-54,10,0
55-64,1,1
55-64,2,1
55-64,3,1
55-64,4,1
55-64,5,1
55-64,6,1
55-64,7,0
55-64,8,0
55-64,9,0
55-64,10,0
65+,1,1
65+,2,1
65+,3,1
65+,4,1
65+,5,1
65+,6,0
65+,7,0
65+,8,0
65+,9,0
65+,10,0
