Stat,Value,Notes,Source
Daily cups consumed,16.3M,2024,Mordor Intelligence 2025
Total cafes,55700+,FY2024,ABS 2024
Industry revenue,$7.1B AUD,FY2025-26,IBISWorld 2026
Australians drinking daily,66%,2024 survey,YouGov 2024
Independent cafe rate,95%,vs 5% chains,Corner Coffee 2026
Avg weekly spend,$6.39 AUD,Per drinker,Various
Avg annual spend,$1100 AUD,Per drinker,WorldMetrics 2025
Melbourne cafes per 100k,310,Highest in world,WorldMetrics 2025
Coffee import value,$1B+ AUD,2023,Statista 2024
Arabica market share,58.26%,vs 41.74% Robusta,Mordor 2025
Market growth forecast,5.55% CAGR,2026-2031,Mordor 2025
Starbucks AU losses,$105M AUD,Closed 61 stores,Accumulate 2025
